Error: That port is already in use.
[15/Jul/2019 08:45:07] "GET /admin/ HTTP/1.1" 200 8422
[15/Jul/2019 08:45:07] "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
[15/Jul/2019 08:45:07] "GET /admin/ HTTP/1.1" 200 8422
[15/Jul/2019 08:45:12] "GET /admin/rules/rulelist/2/change/ HTTP/1.1" 200 7153
[15/Jul/2019 08:45:12] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 08:45:20] "GET /admin/ HTTP/1.1" 200 8422
[15/Jul/2019 08:45:27] "GET /admin/firetemplate/firewalltemplate/3/change/ HTTP/1.1" 200 6451
[15/Jul/2019 08:45:27] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 08:45:33] "GET /admin/ HTTP/1.1" 200 8422
[15/Jul/2019 08:49:23] "GET /admin/auth/user/ HTTP/1.1" 200 6485
[15/Jul/2019 08:49:23] "GET /static/admin/css/base.css HTTP/1.1" 304 0
[15/Jul/2019 08:49:23] "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
[15/Jul/2019 08:49:23] "GET /static/admin/js/core.js HTTP/1.1" 304 0
[15/Jul/2019 08:49:23] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[15/Jul/2019 08:49:23] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 08:49:23] "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
[15/Jul/2019 08:49:23] "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
[15/Jul/2019 08:49:23] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
[15/Jul/2019 08:49:23] "GET /static/admin/js/actions.js HTTP/1.1" 304 0
[15/Jul/2019 08:49:23] "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
[15/Jul/2019 08:49:23] "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
[15/Jul/2019 08:49:23] "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
[15/Jul/2019 08:49:23] "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
[15/Jul/2019 08:49:23] "GET /static/admin/img/search.svg HTTP/1.1" 304 0
